Line,Station_Number,Station_Name,Station_Form,PAO,Elevator_and_Wheelchair_Ramps,Ticket_Gates_for_the_Disabled,Toilet_Facilities_for_Disabled,Reserved_Spaces_for_Wheelchairs,Doors_Open_Side,Elevator,Anti_slip_Strips,Train_Destination_Announcements,Public_Address_System,Priority_Seats_for_Visually_Impaired_Passengers,Tactile_Guide_Paths_quantity,Passenger_Information_Display_Systems_count,door_indicator_light_count,Train_Passenger_Information_Systems_quantity,1999_Sign_Language_Service_quantity
文湖線,BR13,松山機場站,地下,大廳層(B2)，近出口3,出口1、出口2、出口3,主詢問處旁,付費區(B2)，近詢問處；連通層(B1)，近出口3,第1節、第4節車廂,左側開門。,有,有,有,有,無,0,1,1,1,1
文湖線,BR12,中山國中站,高架,大廳層(3樓)，近出口,單一出口,主詢問處旁,付費區(3樓)，近出口,第1節、第4節車廂,右側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門--月臺,1,1,1,0
文湖線/松山新店線,BR11/G16,南京復興站,【文湖線】高架。【松山新店線】地下。,【文湖線】大廳層(3樓)，近出口7。【松山新店線】大廳層(B2)，近出口1。,【文湖線】出口7。【松山新店線】出口1、出口2。,主詢問處旁,【文湖線】付費區(3樓)，近出口7。【松山新店線】非付費區(B2)，近出口1、2；付費區(B2)，大廳走道中間。,【文湖線】第1節、第4節車廂。【松山新店線】第1節、第6節車廂。,【文湖線】右側開門。【松山新店線】左側開門。,有,有,有,有,無,【文湖線】3樓大廳無障礙閘門--月臺。【松山新店線】0。,1,1,1,0
文湖線/板南線,BR10/BL15,忠孝復興站,【文湖線】高架。【板南線】地下。,【文湖線】近SOGO復興館。【板南線】近出口1、2。,出口2,主詢問處旁,【文湖線】付費區(3樓)，近出口2，高揚層電扶梯。【板南線】付費區(B1)，近出口2，板南線及文湖線轉乘通道旁。,【文湖線】第1節、第4節車廂。【板南線】第1節、第6節車廂。,【文湖線】右側開門。【板南線】左側開門。,有,有,有,有,【文湖線】一、二月台前端。【板南線】一月台前端。,【文湖線】/【板南線】出口電梯--大廳無障礙閘門--月臺,1,1,1,0
文湖線/淡水信義線,BR09/R05,大安站,【文湖線】高架。【淡水信義線】地下。,【文湖線】大廳層(1樓)，近出口4。【淡水信義線】大廳層(B1)，近出口1、2、3。,【文湖線】出口4。【淡水信義線】出口3。,主詢問處旁,【文湖線】付費區(3樓)，近大廳電梯旁。【淡水信義線】付費區(B1)，近出口3；轉乘通道(M)。,【文湖線】第1節、第4節車廂。【淡水信義線】第1節、第6節車廂。,【文湖線】右側開門。【淡水信義線】左側開門。,有,有,有,有,無,【文湖線】出口--大廳無障礙閘門--月臺電梯--月臺。【淡水信義線】0。,1,1,1,0
文湖線,BR08,科技大樓站,高架,大廳層(3樓)，近出口1,出口1、出口2,主詢問處、簡易詢問處旁,付費區(3樓)， 近出口1,第1節、第4節車廂,右側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門--月臺(註：出口2無導盲設施),1,1,1,0
文湖線,BR07,六張犁站,高架,大廳層(3樓)，近出口,單一出口,主詢問處旁,付費區(3樓)， 近出口,第1節、第4節車廂,右側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門--月臺,1,1,1,0
文湖線,BR06,麟光站,高架,大廳層(1樓)，近出口,單一出口,主詢問處旁,付費區(1樓)， 近出口,第1節、第4節車廂,右側開門。,有,有,有,有,無,出口--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
文湖線,BR05,辛亥站,高架,大廳層(1樓)，近出口,單一出口,主詢問處旁,付費區(1樓)， 近出口,第1節、第4節車廂,右側開門。,有,有,有,有,無,出口--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
文湖線,BR04,萬芳醫院站,高架,大廳層(3樓)，近出口,單一出口,主詢問處旁,付費區(3樓)， 近出口,第1節、第4節車廂,右側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門--月臺,1,1,1,0
文湖線,BR03,萬芳社區站,高架,大廳層(1樓)，近出口,單一出口,主詢問處旁,付費區(1樓)， 近出口,第1節、第4節車廂,右側開門。,有,有,有,有,無,出口--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
文湖線,BR02,木柵站,高架,大廳層(1樓)，近出口,單一出口,主詢問處旁,付費區(1樓)， 近出口,第1節、第4節車廂,右側開門。,有,有,有,有,無,出口--大廳無障礙閘門--月臺電梯--月臺,1,1,1,0
文湖線,BR01,動物園站,高架,大廳層(3樓)，近出口1,出口1、出口2,主詢問處旁,非付費區(2樓)， 近出口2,第1節、第4節車廂,右側開門。,有,有,有,有,無,出口電梯--大廳無障礙閘門-天橋層電梯-月臺,1,1,1,0
文湖線,BR14,大直站,地下,大廳層(B1)，近出口2,出口1、出口3,主詢問處旁,付費區(B1)，近出口3,第1節、第4節車廂,左側開門。,有,有,有,有,無,0,1,1,1,0
文湖線,BR15,劍南路站,高架,大廳層(3樓)，近出口2、3,出口1、出口2,主詢問處、簡易詢問處旁,付費區(3樓)，近出口2、3,第1節、第4節車廂,右側開門。,有,有,有,有,無,0,1,1,1,0
文湖線,BR16,西湖站,高架,大廳層(4樓)，近出口1,出口1、出口2,主詢問處、簡易詢問處旁,非付費區(4樓)，近出口1,第1節、第4節車廂,左側開門。,有,有,有,有,無,0,1,1,1,0
文湖線,BR17,港墘站,高架,大廳層(3樓)，近出口1,出口1、出口2,主詢問處、簡易詢問處旁,非付費區(3樓)，近出口1,第1節、第4節車廂,右側開門。,有,有,有,有,無,0,1,1,1,0
文湖線,BR18,文德站,高架,大廳層(3樓)，近出口2,出口1、出口2,主詢問處、簡易詢問處旁,非付費區(3樓)，近出口2,第1節、第4節車廂,右側開門。,有,有,有,有,無,0,1,1,1,0
文湖線,BR19,內湖站,高架,大廳層(3樓)，近出口1,出口1、出口2,主詢問處、簡易詢問處旁,非付費區(3樓)，近出口1,第1節、第4節車廂,右側開門。,有,有,有,有,無,0,1,1,1,0
文湖線,BR20,大湖公園站,高架,大廳層(3樓)，近出口2,出口1、出口2,主詢問處、簡易詢問處旁,非付費區(3樓)，近出口2,第1節、第4節車廂,右側開門。,有,有,有,有,無,0,1,1,1,0
文湖線,BR21,葫洲站,高架,大廳層(3樓)，近出口2,出口1、出口2,主詢問處、簡易詢問處旁,非付費區(1樓)，近出口1；非付費區(3樓)，近出口2,第1節、第4節車廂,右側開門。,有,有,有,有,無,0,1,1,1,0
文湖線,BR22,東湖站,高架,大廳層(2樓)，近出口3,出口1、出口2、出口3,主詢問處、簡易詢問處旁,非付費區(2樓)，近出口3,第1節、第4節車廂,右側開門。,有,有,有,有,無,0,1,1,1,0
文湖線,BR23,南港軟體園區站,高架,大廳層(2樓)，近出口1、2,出口1、出口2,主詢問處、簡易詢問處旁,非付費區(2樓)，近出口2,第1節、第4節車廂,右側開門。,有,有,有,有,無,0,1,1,1,0
